Brand.Code,Carb.Volume,Fill.Ounces,PC.Volume,Carb.Pressure,Carb.Temp,PSC,PSC.Fill,PSC.CO2,Mnf.Flow,Carb.Pressure1,Fill.Pressure,Hyd.Pressure1,Hyd.Pressure2,Hyd.Pressure3,Hyd.Pressure4,Filler.Level,Filler.Speed,Temperature,Usage.cont,Carb.Flow,Density,MFR,Balling,Pressure.Vacuum,PH,Oxygen.Filler,Bowl.Setpoint,Pressure.Setpoint,Air.Pressurer,Alch.Rel,Carb.Rel,Balling.Lvl
A,5.34,24.02666667,0.231333333,68,140.6,0.044,0.08,0.12,-100.2,120.8,52.4,34.4,32.2,23.6,94,125.4,7253792.259584679,69,21.54,3858,1.46,242514.1801735734,2.846,-5.2,8.904545783996582,-2.489665520160327,8446.70477753752,50,0.9930991047652858,7.18,5.7,2.84
A,5.66,23.79333333,0.332,76,143.8,0.194,0.22,0.1,-100,122.4,51.8,0,-50,0,98,110.2,507784.6553405025,65.2,20.16,0,0.06,14318.949077515881,3.48,-5.8,8.49531364440918,-5.042683002759868,6047.575217310926,46,0.9930599680312793,6.52,5.46,0
A,5.366666667,23.87333333,0.316666667,77.4,149.34,0.042,0.16,0.02,-100.2,119.2,46,39,34.6,30,122,120.8,6804072.7038782425,69,17.94,2946,1.64,222876.5296762463,3.294,-5.8,8.578516006469727,-1.9485309590693607,7197.161911225592,46,0.9930893615754153,7.1,5.62,3
A,5.46,24.01333333,0.368,66,136.6,0.066,0.32,0.04,-100,122.8,51,0,0.2,0,76,122.2,507784.6553405025,67.6,22.16,44,1.6,14318.949077515881,3.192,-5.8,8.5688629150390625,-1.9485309590693607,7197.161911225592,46,0.9930795911329003,7.12,5.58,3
D,5.54,23.91333333,0.299333333,70.8,140.4,0.04,0.06,0.04,-100.2,120.4,40.6,0,0.2,0,124,125,507784.6553405025,69,19.44,44,1.6,14318.949077515881,3.212,-5.4,8.656871795654297,-1.9485309590693607,7197.161911225592,46,0.9930402345366552,7.7,5.68,3.28
B,5.346666667,23.96666667,0.31,67.6,140.8,0.132,0.22,0.04,-100.2,116.4,46,29.8,34,23.4,96,120,7522774.013565639,65.2,19.38,3078,0.98,245307.19420209198,1.648,-5.4,8.751276969909668,-2.6454526683025854,7197.161911225592,46,0.9930697933232372,6.58,5.4,1.48
D,5.486666667,23.84666667,0.348,73.6,146,0.112,0.38,0.06,-100,122.4,56,0,0.2,0,98,146.6,507784.6553405025,64.4,22.62,46,1.68,14318.949077515881,3.39,-5.6,8.68263053894043,-3.2403912722267334,7197.161911225592,46,0.9930402345366552,7.72,5.6,3.26
B,5.286666667,23.96666667,0.368,67.4,143,0.09,0.04,0.08,-100.2,115.8,46,22.6,35.8,32.6,96,119.6,8043319.392066751,65.8,21.78,3038,0.98,267056.6812854672,1.648,-5.2,8.85635757446289,-2.6739333406523116,7197.161911225592,46,0.9930501151412335,6.58,5.36,1.44
A,5.426666667,24.13333333,0.447333333,60.4,134.6,0.166,0.4,0.12,-100.2,119,51.8,43.2,34.2,34.8,118,120.4,7584943.074949896,66.2,18.24,3256,1.54,247271.8185778622,3.042,-4.6,9.008981704711914,-2.864138593143172,7197.161911225592,52,0.9930303261004437,7.14,5.54,3.04
A,5.406666667,24.09333333,0.317333333,64.4,135.8,0.13,0.32,0.06,-100.2,116.4,51.8,38,35,35,82,118.6,7592732.194992122,66,17.52,3206,1.58,261532.71922880778,3.142,-4.8,9.04237174987793,-2.7334316120282396,7197.161911225592,52,0.9930501151412335,7.1,5.5,3.04
D,5.426666667,23.97333333,0.188,69.2,141.8,0.038,0.3,0.12,-100.2,122.8,46.8,0,0.2,0,114,121,507784.6553405025,69,13.4,42,1.66,14318.949077515881,3.344,-5,8.725922584533691,-2.864138593143172,7197.161911225592,52,0.9930795911329003,7.72,5.44,3.24
D,5.446666667,23.94666667,0.33,70.8,143.2,0.082,0.22,0.06,-100.2,118.2,46,29.2,36.2,33,72,119.4,8075427.203011801,66.2,18.06,3004,1.64,267349.0152107481,3.29,-5,8.826584815979004,-2.2739881307096423,7197.161911225592,46,0.9930501151412335,7.78,5.56,3.1
B,5.293333333,23.86666667,0.28,70.6,145.8,0.04,0.16,0.02,-100.2,116.8,46,25.8,56.4,21.2,98,119.6,7616123.538273993,65.2,17,3132,0.92,253355.01395761612,1.498,-5.2,8.80603313446045,-1.9485309590693607,7197.161911225592,46,0.9930599680312793,6.52,5.38,1.44
B,5.366666667,23.96,0.370666667,64,136.6,0.176,0.2,0.06,-100.2,119.2,46,16.8,27.6,21.4,96,120,7592732.194992122,64.8,18.9,3108,0.9,252359.6892244615,1.448,-5.4,8.760653495788574,-1.9485309590693607,7197.161911225592,46,0.9930501151412335,6.56,5.36,1.36
B,5.36,24.01333333,0.284666667,67.6,141,0.016,0.08,0.04,-100.2,125.4,46,24.6,26.8,20.4,106,119.4,7608322.426654326,65.4,22.48,3178,0.9,249809.27761161418,1.448,-4.8,9.0367889404296875,-2.538962902490172,7197.161911225592,46,0.9930303261004437,6.54,5.36,1.42
B,5.34,23.96666667,0.338666667,62.6,133,0.074,0.18,0.12,-100.2,125,46,32.6,26.6,23.2,104,120,7584943.074949896,64.8,20.16,3174,0.9,252786.0171047756,1.448,-4.8,9.057435989379883,-2.9746560068213634,7197.161911225592,46,0.9930501151412335,6.54,5.4,1.36
C,5.22,24.12666667,0.290666667,71,149.2,0.074,0.02,0.08,-100.2,126,46,32.6,61.4,34.8,102,119.8,7577157.952100461,67,20.98,3286,0.9,249103.12862418377,1.448,-5,8.485883712768555,-1.9485309590693607,7197.161911225592,46,0.9930697933232372,6.56,5.44,1.38
C,5.186666667,23.82,0.333333333,65.4,140.8,0.05,0.2,0.12,-100,121.6,45.8,21.8,24,29.6,94,120.6,8003274.565024487,69,18.44,3234,0.98,264723.76657103834,1.648,-5.4,8.635497093200684,-1.9485309590693607,7197.161911225592,46,0.9930795911329003,6.6,5.32,1.44
C,5.286666667,23.94666667,0.378666667,63.4,136.8,0.094,0.12,0.02,-100,123.4,46.2,11.8,19.4,24.2,96,119.8,7631737.753089682,66.8,20.2,3310,0.94,251224.57386856558,1.548,-5.4,8.795243263244629,-1.9485309590693607,7197.161911225592,46,0.9930203897148375,6.56,5.32,1.38
C,5.213333333,23.82,0.305333333,63,137,0.18,0.22,0.08,-100,127.6,54.8,0,0,0,118,122.6,507784.6553405025,65.8,16.24,44,0.94,14318.949077515881,1.548,-5.4,8.858363151550293,-2.442671147273356,7197.161911225592,46,0.9930402345366552,6.5,5.3,1.5
B,5.286666667,23.87333333,0.366666667,64.8,138.6,0.096,0.28,0.04,-100,117.2,46.2,28.6,40.4,32.4,92,119.4,7584943.074949896,66.2,20.68,3112,0.94,265160.4085284374,1.548,-5.8,8.78520679473877,-2.617755569437541,7197.161911225592,46,0.9930303261004437,6.58,5.38,1.34
B,5.28,23.86666667,0.346,64.6,138.4,0.054,0.18,0.04,-100.2,116.8,46,29.2,39.2,30.8,90,119.4,7577157.952100461,65.8,20.56,3136,0.94,253924.65044365067,1.548,-5.8,8.805718421936035,-2.6454526683025854,7197.161911225592,46,0.9930599680312793,6.54,5.38,1.34
D,5.513333333,23.9,0.368666667,68.4,137.2,0.154,0.36,0.08,-100.2,123.2,46,36.4,32.2,28,74,121.4,7616123.538273993,67.8,24.34,3196,1.62,251082.86434596294,3.242,-5,8.782289505004883,-2.8298379721822546,7197.161911225592,46,0.9930402345366552,7.8,5.68,3.08
D,5.493333333,23.88,0.312666667,68.6,138.8,0.022,0.14,0.02,-100.2,120.2,46,34.4,36.4,22.8,78,119.4,7215766.014527037,65.6,16.82,3182,1.62,236838.4928373802,3.24,-5.4,8.844507217407227,-2.936454480444089,7197.161911225592,46,0.9930501151412335,7.8,5.62,3.04
B,5.26,23.84,0.348666667,65.6,140.8,0.056,0.1,0.04,-100.2,127.4,40,0,0.2,0,120,125.4,507784.6553405025,67.8,20.6,1962,0.8,205475.37870581896,1.196,-5.6,8.728532791137695,-1.9485309590693607,7197.161911225592,46,0.9930303261004437,6.52,5.38,1.26
B,5.266666667,23.90666667,0.332666667,64,138.6,0.066,0.16,0.12,-100,120,45.8,29.8,40.2,26.2,94,121.2,7655189.054251779,65.8,17.66,3062,0.92,250799.5652320234,1.496,-5.4,8.839954376220703,-5.240966736127478,7197.161911225592,46,0.9930303261004437,6.52,5.44,1.38
B,5.28,23.86666667,0.356,62.2,134.2,0.09,0.14,0.1,-100.2,121.4,46,28.8,40.6,26.6,102,119.6,7631737.753089682,66,22.88,3078,0.92,254494.92656282487,1.496,-5.4,8.837620735168457,-4.779618416511663,7197.161911225592,46,0.9930402345366552,6.5,5.4,1.4
D,5.486666667,23.89333333,0.248666667,75,146.8,0.066,0.1,0.04,-100.2,125.6,50.4,0,0.2,0,114,118.4,507784.6553405025,65.4,24.6,44,1.6,14318.949077515881,3.192,-5.2,8.90709114074707,-5.316692212833912,7197.161911225592,46,0.99301042526141,7.74,5.56,3.16
B,5.34,23.96,0.277333333,63.8,135.2,0.052,0.14,0.06,-100.2,117,46,39.8,33.8,30,96,119.4,7569376.826443973,65.4,16.02,3106,0.88,251933.72113787266,1.398,-5,8.8019256591796875,-4.929164424680394,7197.161911225592,46,0.9930203897148375,6.54,5.4,1.36
B,5.293333333,23.98666667,0.262666667,66,140.2,0.062,0.18,0.02,-100.2,116.8,46,45.2,35.2,32.8,98,119.2,7584943.074949896,66.2,18.98,3118,0.94,256782.4273698313,1.548,-4.8,8.936967849731445,-4.515782313707977,7197.161911225592,46,0.9930501151412335,6.56,5.36,1.44
B,5.26,23.87333333,0.447333333,67,143.2,0.19539999999999996,0.22,0.06,-100.2,118.6,46,40.6,35,30.6,96,119.8,7987284.614499164,65.6,21.84,3024,0.98,267495.24213887885,1.648,-5.4,8.81782341003418,-4.779618416511663,7197.161911225592,46,0.9930599680312793,6.56,5.34,1.46
B,5.253333333,23.87333333,0.266666667,73.4,150.2,0.124,0.18,0.02,-100,117.4,46,12.6,47.8,31,100,119.6,7631737.753089682,65.8,24.2,3060,0.92,252786.0171047756,1.496,-5.6,8.864240646362305,-5.013092850820487,7197.161911225592,46,0.9930697933232372,6.58,5.36,1.38
B,5.273333333,23.95333333,0.252666667,70,145.6,0.072,0.1,0.02,-100.2,120.4,46.2,10.8,47.2,29.4,94,119.8,7631737.753089682,66,16.3,3070,0.92,256639.1587414504,1.496,-5.6,8.8811674118042,-5.013092850820487,7197.161911225592,46,0.9930402345366552,6.58,5.36,1.38
B,5.24,23.88,0.322666667,73,150.2,0.088,0.08,0,149,119,46,14.8,44,26.6,92,120,7639550.856285394,65.4,19.12,3104,0.92,254923.05341142067,1.498,-5.2,9.086289405822754,-4.827062334884897,7197.161911225592,46,0.9930402345366552,6.58,5.36,1.36
B,5.38,24.05333333,0.289333333,67.6,140,0.098,0.12,0.04,186.6,116.2,45.8,41.2,34.4,36.2,94,121.6,7663014.1490221415,66,16.34,3070,0.86,257786.42712597048,1.348,-5.2,8.796931266784668,-5.073160279261315,7197.161911225592,46,0.9930501151412335,6.62,5.38,1.32
A,5.453333333,23.84666667,0.382666667,67.4,139.2,0.09,0.26,0.08,113.8,117,45.6,15.6,23.8,17.4,104,116.4,507784.6553405025,66.6,15.8,3232,1.52,14318.949077515881,2.992,-5.6,8.820565223693848,-5.356778360502513,7197.161911225592,46,0.9930501151412335,7.24,5.52,2.96
X,5.153333333,23.96666667,0.372,60.4,135.2,0.026,0.12,0.04,220.4,121,46,47.4,21.6,38.6,80,119.8,7623928.647085831,69,16.52,3058,1,253497.36311351496,1.698,-5.4,8.680473327636719,-4.712366141832933,7197.161911225592,46,0.9930697933232372,6.56,5.26,1.46
C,5.313333333,23.94666667,0.349333333,71.6,147,0.102,0.24,0.08,166.4,119.8,39.8,33.2,31.2,16.4,100,120,7200583.496905285,66.8,18.84,2868,1.04,235601.60511404014,1.796,-5.4,8.835672378540039,-4.028588666874747,7197.161911225592,46,0.9930697933232372,6.64,5.42,1.64
D,5.546666667,23.85333333,0.34,73.8,144.8,0.042,0.02,0.06,199,116.2,46.2,45.4,34.4,21.4,76,118.8,8035302.432289879,65.8,17.18,3000,1.64,266180.6389575277,3.29,-5.4,8.784724235534668,-4.876831293157794,7197.161911225592,46,0.9930697933232372,7.78,5.7,3.04
D,5.44,23.88666667,0.437333333,66.6,136.6,0.158,0.26,0.08,197.2,114.4,46,39,35,21.4,74,121.2,8035302.432289879,66.2,17.42,2982,1.68,268813.08345661353,3.39,-5.4,8.77841854095459,-4.779618416511663,7197.161911225592,46,0.9930501151412335,7.76,5.6,3.06
B,5.333333333,23.88,0.3778666669,65,137.8,0.136,0.06,0.02,187.6,118,46,40.8,26,19.2,94,120.4,7577157.952100461,65.8,16.08,3040,0.86,252786.0171047756,1.348,-5.4,8.781096458435059,-4.984339733986216,7197.161911225592,46,0.9930402345366552,6.58,5.38,1.22
B,5.333333333,24.00666667,0.313333333,68.6,142.4,0.144,0.18,0.02,192.6,117,46.2,33.8,30,21.2,92,120,7230964.520950172,65.4,16.1,3078,0.84,241540.4031030463,1.298,-5.2,8.957598686218262,-4.669885147032931,7197.161911225592,46,0.99301042526141,6.58,5.36,1.3
D,5.533333333,23.83333333,0.348,71,142.2,0.068,0.12,0.1,0.2,119.8,44.4,0,0.2,0,110,143.6,507784.6553405025,69,22.94,40,1.48,14318.949077515881,2.894,-5.8,9.153130531311035,-3.6618357227063076,8446.70477753752,50,0.9930501151412335,7.78,5.64,3.06
C,5.24,23.94666667,0.394666667,61.8,136.2,0.19539999999999996,0.12,0,99.6,117.4,50.2,3.2,24.2,31.4,100,130.4,6469032.90548337,65.8,18.64,3220,0.94,214283.85787571315,1.548,-5.8,8.723536491394043,-4.570865200584123,8446.70477753752,50,0.9930599680312793,6.6,5.3,1.44
A,5.466666667,23.84666667,0.3778666669,67.2,137.2,0.192,0.14,0.04,90.6,113,50,2.6,21.8,29.4,112,130.2,6469032.90548337,69,19.02,3216,1.64,215726.12907470105,3.294,-5.8,8.7528533935546875,-4.515782313707977,8446.70477753752,50,0.9930303261004437,7.18,5.54,2.98
A,5.453333333,23.96666667,0.388666667,68.8,140.6,0.022,0.12,0.06,141.2,132,50.4,36,32.4,31.2,118,100.6,6469032.90548337,66.4,17.2,3426,1.56,216778.09185930062,3.092,-5.2,8.832686424255371,-3.9747906247027633,4997.945355469508,50,0.9930893615754153,7.18,5.52,2.96
D,5.473333333,23.92666667,0.307333333,72.4,144.2,0.188,0.18,0.02,0.2,127.4,49.6,0,0.2,0,112,127.4,507784.6553405025,69,19.68,34,1.56,14318.949077515881,3.096,-4.6,8.9804229736328125,-3.0856728792719013,7197.161911225592,46,0.9930501151412335,7.76,5.64,3.02
D,5.493333333,23.84666667,0.348,75.2,147.8,0.154,0.18,0.06,145.6,124.2,46,50,30.8,33,82,120.8,6505040.560434789,67.6,23.14,3042,1.62,219551.6672587775,3.242,-4.6,9.09843635559082,-3.157732216654621,7197.161911225592,46,0.9930501151412335,7.76,5.72,3.08
D,5.44,23.92666667,0.372,72.2,144.6,0.094,0.14,0,113.6,130,45.4,28.2,23.2,28.4,84,120,6469032.90548337,67.4,22.7,3050,1.62,215726.12907470105,3.242,-4.6,9.034207344055176,-3.1530745228434665,7197.161911225592,46,0.9930203897148375,7.76,5.64,3.04
D,5.466666667,23.9,0.410666667,72.8,144.2,0.072,0.12,0.08,105.2,117,45.6,23,22,27.6,82,120.2,6469032.90548337,67.2,16.88,3056,1.66,215463.5381517136,3.342,-5,9.159189224243164,-3.0813356163742385,7197.161911225592,46,0.9930402345366552,7.74,5.66,3.08
B,5.28,23.96666667,0.386,62.6,136.4,0.19,0.14,0.04,90.2,128,50.2,2.2,26.2,28.8,100,80,6526693.119999524,67.2,21.3,3310,0.98,214676.72483845908,1.648,-5.8,8.943207740783691,-3.112095584641287,3198.5590956298297,50,0.9930697933232372,6.54,5.34,1.34
B,5.313333333,23.98,0.322666667,66.2,139.8,0.152,0.34,0.02,86.8,126.2,50.4,1.6,25.4,27,98,85.8,6526693.119999524,65.4,16.24,3188,0.98,270281.14940097375,1.648,-5.6,9.022466659545898,-2.9746560068213634,4048.273048483616,50,0.9930795911329003,6.56,5.32,1.32
B,5.326666667,24.06,0.217333333,66.8,139.8,0.018,0.26,0.06,102,122.6,50,8,25.6,35.2,100,79.8,6826216.920565832,65.6,23.18,3308,0.96,227978.17333676986,1.596,-5.6,9.063353538513184,-2.878192588282188,3198.5590956298297,50,0.9930203897148375,6.58,5.32,1.34
B,5.286666667,23.95333333,0.217333333,63.4,136.6,0.066,0.16,0.04,73.4,120.4,53.6,2.2,17.6,25.8,114,77.8,507784.6553405025,65,18.32,3630,0.94,14318.949077515881,1.548,-5.8,8.798888206481934,-3.3085099501932027,3198.5590956298297,50,0.9930402345366552,6.58,5.26,0
A,5.426666667,23.95333333,0.334,72.8,146,0.078,0.2,0.04,106.8,122.4,50.2,9.6,25.8,37.6,78,79.4,7592732.194992122,66,23.38,3202,1.72,249244.2784674728,3.49,-6.2,8.612024307250977,-3.4603090820425515,3198.5590956298297,50,0.9930501151412335,7.14,5.5,3.06
A,5.4,23.94,0.338666667,69.2,142,0.01,0.3,0.04,111.2,126.8,50,11.2,26.8,38.4,82,79.4,7939410.695367224,66.4,16.46,3218,1.76,260377.1356198022,3.588,-6.2,8.495208740234375,-3.435418118725763,3198.5590956298297,50,0.9930501151412335,7.14,5.5,3.1
A,5.413333333,23.88,0.306,69.2,141.4,0.07,0.04,0.02,112.4,124.6,49.8,9.4,26.6,40.8,82,85.2,7639550.856285394,66.4,21.68,3200,1.76,239321.98273735947,3.588,-6.2,8.805981636047363,-3.429290053403967,3198.5590956298297,50,0.9930203897148375,7.14,5.5,3.08
B,5.306666667,24.01333333,0.266,63,135.4,0.074,0.04,0.02,110.4,124.6,49.6,11.8,24.2,40.4,98,80.6,7192998.233895327,65.6,20.28,3116,1.04,238354.64198861358,1.796,-6.2,8.762747764587402,-3.3359841646947133,3198.5590956298297,50,0.9932420582441408,6.58,5.34,1.38
B,5.333333333,23.94666667,0.286666667,68,142.4,0.048,0.22,0.06,0.2,133.4,54.6,0,0.2,0,127.39999999999998,104.4,507784.6553405025,65.6,23.72,86,0.92,14318.949077515881,1.498,-5.8,9.129406929016113,-3.1346558533926903,3198.5590956298297,50,0.9932420582441408,6.54,5.32,1.36
B,5.313333333,23.91333333,0.343333333,67.2,140.8,0.17,0.24,0.06,109.6,124.8,50.4,12.8,26,37.8,102,80.8,7246179.016173415,65.4,22.8,3230,0.98,234231.0832540082,1.648,-6,8.793621063232422,-3.205531413849104,3198.5590956298297,50,0.9932420582441408,6.54,5.32,1.36
B,5.313333333,23.90666667,0.29,63.6,136,0.052,0.3,0.04,112.4,124.4,49.2,11,27.2,40.4,94,80.2,7422294.905837925,65.4,16.96,3244,0.98,245447.26466337222,1.648,-6,8.802525520324707,-3.205531413849104,3198.5590956298297,50,0.9932420582441408,6.52,5.28,1.3
B,5.286666667,23.97333333,0.307333333,65.2,139.2,0.094,0.02,0.02,104,124.4,49.2,14.4,19.6,37.4,100,80,7406896.539504591,65.4,16.32,3288,1.02,242374.94923206858,1.746,-5.6,8.934089660644531,-3.3139453031864914,3198.5590956298297,50,0.9932420582441408,6.54,5.26,1.42
A,5.346666667,23.92,0.326666667,66.4,139.4,0.104,0.12,0.02,109.8,121.8,49.6,20,20.6,39.2,90,81,7261409.500195493,69,14.32,3338,1.54,231638.10543748052,3.044,-5.2,8.86743450164795,-3.4051429808363656,3198.5590956298297,50,0.9932420582441408,7.16,5.4,2.98
B,5.233333333,23.98,0.342666667,68.4,143.4,0.062,0.18,0.1,108.2,123.8,50.4,20.4,21,36.6,100,109.8,7460860.77259979,66,17.72,3290,0.94,247131.22841405493,1.548,-5.6,8.965014457702637,-3.4415835914518977,6047.575217310926,50,0.9932420582441408,6.58,5.32,1.32
C,5.173333333,23.98,0.362,66.8,144.4,0.054,0.22,0.02,112.2,123,50,16.2,24.6,34.6,114,80,7639550.856285394,66.4,21.66,3274,0.98,251933.72113787266,1.646,-5.4,8.7324676513671875,-3.417144351986711,3198.5590956298297,50,0.9932420582441408,6.5,5.28,1.68
C,5.306666667,23.98,0.314666667,64.2,137.4,0.086,0.12,0.02,111.6,124.8,50,15.6,29.6,32,102,100.2,7639550.856285394,66.4,20.36,3290,0.98,250941.19480044866,1.646,-5.4,8.786127090454102,-3.4540286017504633,4997.945355469508,50,0.9932420582441408,6.52,5.3,1.66
C,5.293333333,23.91333333,0.310666667,74.6,151.4,0.078,0.12,0.02,115.8,123.4,53.6,16.2,31.2,33,120,100.6,7663014.1490221415,68,21.4,3514,0.98,251791.81172984152,1.648,-5.4,8.7607421875,-3.3249045969289726,4997.945355469508,50,0.9932420582441408,6.58,5.36,1.72
B,5.346666667,24.04,0.285333333,76.4,151.8,0.162,0.14,0.04,98.8,120.8,50,8.2,22.4,33.8,102,79.4,7623928.647085831,66.6,23.7,3286,0.9,246990.6782273599,1.448,-5.4,9.147110939025879,-3.5525997777551037,3198.5590956298297,50,0.9932420582441408,6.52,5.38,1.36
B,5.333333333,23.97333333,0.325333333,67.6,141.8,0.198,0.18,0.12,101.6,123,49.6,8.2,23,36.4,96,81,7631737.753089682,66.4,16.48,3274,0.88,253070.4355770432,1.398,-5.4,8.843904495239258,-3.518662876932951,3198.5590956298297,50,0.9932420582441408,6.52,5.4,1.32
B,5.306666667,24.1,0.218,67.8,142.4,0.058,0.04,0.02,119.6,123.6,50.2,12.4,35.4,35.4,98,90,7995277.591169418,66,17.76,3262,0.9,265743.1574830448,1.448,-5.4,8.976305961608887,-3.1346558533926903,4048.273048483616,50,0.9930402345366552,6.52,5.32,1.36
B,5.266666667,23.94666667,0.241333333,67.8,143.2,0.028,0.18,0.02,77,123,54,20.8,10.2,13.4,127.39999999999998,96,507784.6553405025,65.2,13.48,3224,0.8,14318.949077515881,1.198,-4.8,8.961572647094727,-3.281763692022472,4048.273048483616,50,0.9930697933232372,6.54,5.32,1.3
D,5.546666667,23.94,0.216666667,77.4,147.4,0.088,0.1,0.06,66.6,126.6,44.4,11,7.6,13.6,104,121.8,507784.6553405025,65,19.16,3286,1.6,14318.949077515881,3.19,-5.2,9.179001808166504,-3.512010165672346,4048.273048483616,48,0.9930599680312793,7.76,5.64,3.2
B,5.3,24.00666667,0.238666667,65,139,0.024,0.18,0.04,145.2,125.4,53,11.2,37.2,34.6,96,90.2,8035302.432289879,65.2,18.64,3370,0.86,266910.5742883185,1.348,-5.2,9.008514404296875,-3.3932825567917138,4048.273048483616,50,0.9930402345366552,6.54,5.32,1.32
B,5.333333333,24.00666667,0.221333333,71.4,147.8,0.01,0.34,0.12,77.2,123.6,51.2,14.8,10,11,80,93.2,507784.6553405025,65.8,19.84,3766,0.74,14318.949077515881,1.048,-5,9.036039352416992,-3.429290053403967,4048.273048483616,50,0.9930697933232372,6.52,5.34,1.28
B,5.32,24,0.256,67.4,140.8,0.088,0.12,0.04,140.2,125,50.2,13.6,36.2,32.4,94,90.6,7971310.652713704,65.4,21.86,3276,0.86,266764.5072681657,1.348,-5,9.006714820861816,-3.4231989452209897,4048.273048483616,50,0.9930402345366552,6.52,5.34,1.3
B,5.306666667,24,0.259333333,64,137.6,0.094,0.14,0.04,0.2,129.6,45.4,0,0.2,-1.2,127.39999999999998,90,507784.6553405025,65.8,23.16,40,0.72,14318.949077515881,0.996,-5.2,8.91258430480957,-3.49231089908254,4048.273048483616,50,0.9930893615754153,6.52,5.32,1.28
X,5.286666667,23.88666667,0.219333333,63.4,137.2,0.014,0.22,0.02,143.2,123.4,49.4,10.6,37.6,34.4,118,89.6,7979295.635013875,68,21.3,3284,0.92,263851.56203548325,1.498,-5,8.823726654052734,-3.5321011709655457,4048.273048483616,50,0.9930402345366552,6.58,5.32,1.38
D,5.573333333,23.96,0.227333333,71.6,141,0.02,0.12,0.04,141.4,125.2,45.8,0.4,39,49,84,90.8,7987284.614499164,66,17.6,3094,1.76,264287.4844067129,3.588,-5.8,8.992430686950684,-3.602111609861595,4048.273048483616,46,0.9930893615754153,7.78,5.64,3.14
D,5.526666667,23.94,0.205333333,72.8,143.8,0.032,0.18,0.04,140.6,126,46.2,0.2,38.8,49.2,76,114.4,7577157.952100461,66.4,17.68,2978,1.78,307811.22544736974,3.638,-6,8.939175605773926,-3.5665002367836824,7197.161911225592,46,0.9930599680312793,7.78,5.64,3.2
D,5.466666667,23.89333333,0.257333333,66.4,136.6,0.102,0.28,0.02,143.8,124.8,46.2,13.2,36.6,34,84,89.6,7804549.374441326,65.8,20.32,3104,1.66,258504.76912039492,3.34,-5.6,9.022829055786133,-3.292377307558726,4048.273048483616,46,0.9930697933232372,7.82,5.56,3.04
B,5.353333333,24.05333333,0.21333333300000001,70.4,144.6,0.028,0.14,0.02,0.2,128,40,0.2,0.2,-1.2,127.39999999999998,120.8,507784.6553405025,69,17.8,44,0.7,14318.949077515881,0.95,-5.4,8.92375659942627,-2.8817369273373443,4048.273048483616,46,0.9930402345366552,6.56,5.32,1.34
B,5.3,23.96666667,0.318666667,66.8,140.8,0.112,0.3,0.12,0.2,127.4,45.6,0.2,0.2,-1.2,124,143.8,507784.6553405025,67.2,19.42,44,0.76,14318.949077515881,1.096,-5.2,9.063763618469238,-3.3699715994938946,7197.161911225592,46,0.9930402345366552,6.54,5.32,1.38
B,5.36,24,0.263333333,68.4,141.8,0.02,0.12,0.04,145,125,49.6,18.2,37.4,30.2,100,90,7915527.697808529,64.6,23.84,3256,0.96,264142.1369726246,1.598,-5.4,8.752580642700195,-3.559526106512439,4048.273048483616,50,0.9930402345366552,6.56,5.36,1.44
B,5.28,23.88666667,0.325333333,66.2,140.6,0.042,0.14,0.04,146,123.8,49.6,14.4,36,35,98,90,7931445.698994913,65.8,16.6,3248,0.98,264287.4844067129,1.648,-5.4,8.815278053283691,-3.292377307558726,4048.273048483616,50,0.9930501151412335,6.56,5.34,1.42
B,5.353333333,23.83333333,0.258666667,68.6,142.2,0.042,0.2,0.04,143.8,124.2,50,12.6,35.2,35.8,102,89.8,7923484.699808631,65.4,17.16,3262,0.92,262545.9536805948,1.498,-5.4,9.084379196166992,-3.292377307558726,4048.273048483616,50,0.9930501151412335,6.56,5.36,1.36
B,5.326666667,23.92,0.267333333,66.8,141,0.036,0.34,0.06,120.6,122.4,50.2,5.8,30.6,30.4,98,120.2,7947379.688925409,65.4,17.42,3146,0.92,266764.5072681657,1.498,-5.4,9.086146354675293,-3.435418118725763,7197.161911225592,50,0.9930501151412335,6.56,5.36,1.3
B,5.3,23.84666667,0.282,72.4,148.2,0.014,0.18,0.08,126.8,124.4,50,7.2,31.8,30,96,79.86,7907574.692994759,65.2,17.82,3264,0.98,263851.56203548325,1.648,-5.4,8.570237159729004,-3.3874041749739834,2448.804390849781,50,0.9930004326210645,6.56,5.32,1.42
B,5.293333333,23.98,0.286,67.4,142.6,0.098,0.16,0.06,135.6,126,50.4,15.2,32.4,32,98,79.86,7915527.697808529,65.4,18.08,3280,0.98,265160.4085284374,1.648,-5.2,8.736706733703613,-3.4111258393948534,2448.804390849781,50,0.9930599680312793,6.54,5.32,1.44
A,5.473333333,23.9,0.212,68.4,139,0.172,0.04,0.02,0.2,128.4,54.8,0,0.2,-1.2,127.39999999999998,95.8,507784.6553405025,65.6,23.26,44,1.6,14318.949077515881,3.192,-5,8.951146125793457,-3.512010165672346,2448.804390849781,50,0.9930402345366552,7.06,5.54,3.12
B,5.293333333,23.83333333,0.348666667,66.4,140.2,0.06,0.18,0.04,165.6,125.2,50,28.6,34.8,34.6,96,79.86,7569376.826443973,65.2,23.64,3418,0.86,249526.69808534812,1.348,-5,9.133420944213867,-3.417144351986711,2448.804390849781,50,0.9930004326210645,6.58,5.32,1.3
